user,resource,rating
Jaya,DS1,4
Jaya,DS2,4.5
Jaya,DS3,4
Jaya,DS4,3
Jaya,DS5,4.5
Jaya,DS6,3
Jaya,DS9,1
Jaya,DS11,2
Jaya,DB1,4
Jaya,DB2,5
Jaya,DB3,4
Jaya,DB4,3
Jaya,DB5,2
Jaya,DB7,1
Jaya,DB10,3.5
Jaya,DB11,2.5
Jaya,DB14,2
Jaya,P1,3
Jaya,P2,4
Jaya,P4,3
Jaya,P6,2
Jaya,P9,1
Jaya,P10,3.5
Jaya,DS7,1.7
Jaya,OS2,4.5
Jaya,OS3,4.1
Jaya,OS5,3.4
Jaya,OS10,3.8
Jaya,OS11,3.1
Lavanya,DS1,3.5
Lavanya,DS2,4
Lavanya,DS3,4.5
Lavanya,DS5,3
Lavanya,DS11,2.5
Lavanya,DB1,4.5
Lavanya,DB2,4
Lavanya,DB3,3.5
Lavanya,DB5,3
Lavanya,DB10,4
Lavanya,DB11,3
Lavanya,DB14,2
Lavanya,P1,4
Lavanya,P2,4
Lavanya,P3,4
Lavanya,P7,3
Lavanya,P10,4
Lavanya,OS1,4.6
Lavanya,OS2,4.2
Lavanya,OS6,3.3
Lavanya,OS11,3.1
Lavanya,OS7,2.1
Lavanya,OS10,3.8
Maya,DS1,2
Maya,DS2,2.5
Maya,DS4,4
Maya,DS5,4.5
Maya,DS6,4
Maya,DS7,3
Maya,DS8,2
Maya,DS11,4
Maya,DB4,3
Maya,DB5,3.5
Maya,DB6,3
Maya,DB7,2.5
Maya,DB8,2
Maya,DB11,4
Maya,DB14,3
Maya,DB15,3.5
Maya,P3,3
Maya,P4,4
Maya,P5,4
Maya,P6,4.5
Maya,P7,2
Maya,OS11,3.9
Maya,OS12,2.6
Maya,OS7,3.1
Maya,OS5,3.8
Maya,OS6,4.1
Priyanka,DS5,3
Priyanka,DS7,3.5
Priyanka,DS8,4
Priyanka,DS9,4.5
Priyanka,DS12,4.5
Priyanka,DB6,2.5
Priyanka,DB7,4.5
Priyanka,DB8,4
Priyanka,DB9,5
Priyanka,DB12,3
Priyanka,DB13,4
Priyanka,P6,3
Priyanka,P7,4
Priyanka,P8,3.5
Priyanka,P9,4.5
Priyanka,P10,2
Priyanka,OS6,2.3
Priyanka,OS7,4.1
Priyanka,OS8,3.9
Priyanka,OS11,2.9
Priyanka,OS12,4.3
Priya,DS1,2
Priya,DS2,3
Priya,DS4,3.5
Priya,DS5,4.5
Priya,DS6,4.5
Priya,DS7,3
Priya,DS8,2
Priya,DS11,3
Priya,DB4,3
Priya,DB5,2
Priya,DB6,4
Priya,DB14,3
Priya,DB15,3.5
Priya,P4,4
Priya,P5,3.5
Priya,P6,4
Priya,P7,2
Priya,OS1,2.4
Priya,OS4,3.9
Priya,OS5,4.2
Priya,OS7,2.6
Priya,OS10,1.2
Priya,OS11,4.3
Priya,OS12,2.3
Shimita,P6,4
Shimita,P5,4
Shimita,P4,3.5
Shimita,P3,3
Shimita,DB14,3.5
Shimita,DB13,2
Shimita,DB11,4
Shimita,DB10,2.5
Shimita,DB7,2
Shimita,DB6,4.5
Shimita,DB5,3.5
Shimita,DB4,3.5
Shimita,DB1,1.5
Shimita,DS11,4.5
Shimita,DS10,1
Shimita,DS8,2
Shimita,DS7,3.5
Shimita,DS6,3
Shimita,DS5,3
Shimita,DS4,3
Shimita,DS2,2.5
Shimita,DS1,3
Shimita,OS2,2.1
Shimita,OS4,4.2
Shimita,OS5,4.4
Shimita,OS8,2.3
Shimita,OS11,4.1
Shimita,OS12,1.9
Smita,P7,2.5
Smita,P6,4.5
Smita,P4,4
Smita,P3,3.5
Smita,DB15,3.5
Smita,DB14,2.5
Smita,DB11,4
Smita,DB9,2
Smita,DB6,3.5
Smita,DB5,4
Smita,DB4,3
Smita,DB2,1.5
Smita,DS11,4
Smita,DS10,1.5
Smita,DS8,2
Smita,DS7,3.5
Smita,DS6,4.5
Smita,DS5,3.5
Smita,DS4,4
Smita,DS3,2
Smita,DS2,2.5
Smita,DS1,3.5
Smita,OS3,1.9
Smita,OS4,4.2
Smita,OS6,3.9
Smita,OS8,2.5
Smita,OS9,2.3
Smita,OS10,1.6
Ayesha,DS1,3.5
Ayesha,DS2,2.5
Ayesha,DS3,1
Ayesha,DS4,3.5
Ayesha,DS5,4.5
Ayesha,DS6,4
Ayesha,DS7,4
Ayesha,DS8,2
Ayesha,DS11,4
Ayesha,DB1,2
Ayesha,DB4,3.5
Ayesha,DB5,4
Ayesha,DB6,4
Ayesha,DB8,2
Ayesha,DB11,4
Ayesha,DB13,1.5
Ayesha,P3,4
Ayesha,P4,3
Ayesha,P5,4.5
Ayesha,P7,3
Ayesha,P9,2
Ayesha,OS1,2.4
Ayesha,OS5,4.2
Ayesha,OS6,4.5
Ayesha,OS9,2.4
Ayesha,OS12,2
Tanya,P10,2.5
Tanya,P7,2
Tanya,P6,4.5
Tanya,P5,4
Tanya,P3,3.5
Tanya,DB15,3.5
Tanya,DB14,3
Tanya,DB11,4
Tanya,DB10,1
Tanya,DB6,3.5
Tanya,DB5,3
Tanya,DB4,2.5
Tanya,DB2,1
Tanya,DS11,3.5
Tanya,DS10,0.5
